PlotID,Longitude,Latitude,Dataset
1,11.187345,43.187193,CircumMed
2,11.215109,43.242916,CircumMed
3,11.187345,43.187193,CircumMed
4,11.432601,43.065966,CircumMed
5,11.187198,43.135804,CircumMed
6,11.187345,43.187193,CircumMed
7,11.187345,43.187193,CircumMed
8,11.187345,43.187193,CircumMed
9,11.187345,43.187193,CircumMed
10,11.177275,43.018988,CircumMed
11,11.177275,43.018988,CircumMed
12,11.177275,43.018988,CircumMed
13,11.177275,43.018988,CircumMed
14,11.22103,43.136988,CircumMed
15,11.230817,43.121694,CircumMed
16,11.230823000000001,43.120856,CircumMed
17,11.231354,43.121515,CircumMed
18,11.230327,43.123751,CircumMed
19,11.207592,43.10589,CircumMed
20,11.199393,43.101231,CircumMed
21,11.198243,43.125937,CircumMed
22,8.633843,44.395547,CircumMed
23,8.633843,44.395547,CircumMed
24,8.633843,44.395547,CircumMed
25,8.633843,44.395547,CircumMed
26,10.524918,43.750743,CircumMed
27,10.582888,43.698924,CircumMed
28,10.524918,43.750743,CircumMed
29,9.180986,44.323216,CircumMed
30,9.180986,44.323216,CircumMed
31,9.377815,44.295372,CircumMed
32,9.180986,44.323216,CircumMed
33,9.180986,44.323216,CircumMed
34,9.180986,44.323216,CircumMed
35,9.621174,44.246934,CircumMed
36,9.763345,44.242847,CircumMed
37,9.756354,44.252529,CircumMed
38,9.481278,44.290986,CircumMed
39,9.435174,44.357305,CircumMed
40,9.435174,44.357305,CircumMed
41,9.481278,44.290986,CircumMed
42,10.549029,43.749701,CircumMed
43,10.549029,43.749701,CircumMed
44,10.549029,43.749701,CircumMed
45,10.549029,43.749701,CircumMed
46,10.549029,43.749701,CircumMed
47,10.549029,43.749701,CircumMed
48,10.549029,43.749701,CircumMed
49,10.549029,43.749701,CircumMed
50,10.549029,43.749701,CircumMed
51,10.549029,43.749701,CircumMed
52,10.549029,43.749701,CircumMed
53,10.549029,43.749701,CircumMed
54,10.549029,43.749701,CircumMed
55,10.549029,43.749701,CircumMed
56,10.549029,43.749701,CircumMed
57,10.549029,43.749701,CircumMed
58,10.549029,43.749701,CircumMed
59,10.549029,43.749701,CircumMed
60,10.549029,43.749701,CircumMed
61,10.549029,43.749701,CircumMed
62,10.549029,43.749701,CircumMed
63,10.549029,43.749701,CircumMed
64,10.549029,43.749701,CircumMed
65,10.549029,43.749701,CircumMed
66,10.549029,43.749701,CircumMed
67,10.549029,43.749701,CircumMed
68,10.549029,43.749701,CircumMed
69,10.549029,43.749701,CircumMed
70,10.549029,43.749701,CircumMed
71,10.549029,43.749701,CircumMed
72,10.549029,43.749701,CircumMed
73,10.549029,43.749701,CircumMed
74,10.549029,43.749701,CircumMed
75,10.549029,43.749701,CircumMed
76,10.549029,43.749701,CircumMed
77,10.549029,43.749701,CircumMed
78,10.549029,43.749701,CircumMed
79,11.175,42.929167,CircumMed
80,11.155833,42.927222,CircumMed
81,11.266667,43,CircumMed
82,11.266667,43,CircumMed
83,11.283333,43,CircumMed
84,11.266667,43,CircumMed
85,11.25,43.016667,CircumMed
86,11.233333,43.033333,CircumMed
87,11.266667,43,CircumMed
88,11.266667,43.083333,CircumMed
89,11.15,42.95,CircumMed
90,11.15,42.9,CircumMed
91,11.133333,42.9,CircumMed
92,11.133333,42.9,CircumMed
93,11.133333,42.9,CircumMed
94,11.15,42.9,CircumMed
95,11.266667,43.033333,CircumMed
96,11.25,43.033333,CircumMed
97,11.266667,43.033333,CircumMed
98,11.266667,43.033333,CircumMed
99,11.266667,43.016667,CircumMed
100,11.266667,43,CircumMed
101,11.233333,43,CircumMed
102,11.233333,43.016667,CircumMed
103,11.166667,43,CircumMed
104,11.15,42.95,CircumMed
105,11.15,42.95,CircumMed
106,11.166667,42.966667,CircumMed
107,11.15,42.95,CircumMed
108,11.15,42.95,CircumMed
109,11.15,42.95,CircumMed
110,11.135278,42.927222,CircumMed
111,11.183333,42.933333,CircumMed
112,11.107485,43.324489,CircumMed
113,11.107485,43.324489,CircumMed
114,11.107485,43.324489,CircumMed
115,11.107485,43.324489,CircumMed
116,11.107485,43.324489,CircumMed
117,11.107485,43.324489,CircumMed
118,11.107485,43.324489,CircumMed
119,11.107485,43.324489,CircumMed
120,11.107485,43.324489,CircumMed
121,11.107485,43.324489,CircumMed
122,11.107485,43.324489,CircumMed
123,11.107485,43.324489,CircumMed
124,11.107485,43.324489,CircumMed
125,11.107485,43.324489,CircumMed
126,11.107485,43.324489,CircumMed
127,11.107485,43.324489,CircumMed
128,11.107485,43.324489,CircumMed
129,9.708315,44.128219,CircumMed
130,9.708315,44.128219,CircumMed
131,9.708315,44.128219,CircumMed
132,9.708315,44.128219,CircumMed
133,9.708315,44.128219,CircumMed
134,9.708315,44.128219,CircumMed
135,9.708315,44.128219,CircumMed
136,9.708315,44.128219,CircumMed
137,9.708315,44.128219,CircumMed
138,9.708315,44.128219,CircumMed
139,9.743177,44.110035,CircumMed
140,9.712043,44.12923,CircumMed
141,9.719271,44.124305,CircumMed
142,9.707646,44.134695,CircumMed
143,9.702786,44.130746,CircumMed
144,9.691005,44.145223,CircumMed
145,9.670712,44.151871,CircumMed
146,9.774668,44.087164,CircumMed
147,9.689675,44.170593,CircumMed
148,9.683113,44.166752,CircumMed
149,9.659586,44.164522,CircumMed
150,9.653348,44.159066,CircumMed
151,9.647312,44.161828,CircumMed
152,9.754502,44.097545,CircumMed
153,9.705245,44.147233,CircumMed
154,9.722689,44.1207,CircumMed
155,9.737268,44.11823,CircumMed
156,9.731849,44.116563,CircumMed
157,9.633543,44.140874,CircumMed
158,9.634577,44.151051,CircumMed
159,9.743177,44.110035,CircumMed
160,9.712043,44.12923,CircumMed
161,9.719271,44.124305,CircumMed
162,9.707646,44.134695,CircumMed
163,9.702786,44.130746,CircumMed
164,9.691005,44.145223,CircumMed
165,9.670712,44.151871,CircumMed
166,9.774668,44.087164,CircumMed
167,9.689675,44.170593,CircumMed
168,9.683113,44.166752,CircumMed
169,9.659586,44.164522,CircumMed
170,9.653348,44.159066,CircumMed
171,9.647312,44.161828,CircumMed
172,9.754502,44.097545,CircumMed
173,9.705245,44.147233,CircumMed
174,9.722689,44.1207,CircumMed
175,9.737268,44.11823,CircumMed
176,9.731849,44.116563,CircumMed
177,9.633543,44.140874,CircumMed
178,9.634577,44.151051,CircumMed
179,9.743177,44.110035,CircumMed
180,9.712043,44.12923,CircumMed
181,9.719271,44.124305,CircumMed
182,9.707646,44.134695,CircumMed
183,9.702786,44.130746,CircumMed
184,9.691005,44.145223,CircumMed
185,9.670712,44.151871,CircumMed
186,9.774668,44.087164,CircumMed
187,9.689675,44.170593,CircumMed
188,9.683113,44.166752,CircumMed
189,9.659586,44.164522,CircumMed
